source;target;value;group
0;5;419;b
0;6;228;b1
1;5;316;b
1;6;398;b1
1;7;85;b2
2;5;49;b
2;6;72;b1
2;7;888;b2
2;8;79;b3
2;9;37;b4
3;7;48;b2
3;8;141;b3
3;9;33;b4
4;7;2;b2
4;8;147;b3
4;9;429;b4
5;10;678;b
5;11;5;b
5;12;2;b
6;10;613;b1
6;11;10;b1
6;12;3;b1
7;10;26;b2
7;11;344;b2
7;12;539;b2
7;13;9;b2
7;14;7;b2
8;11;2;b3
8;12;72;b3
8;13;176;b3
8;14;105;b3
9;12;15;b4
9;13;51;b4
9;14;426;b4
