count	codes	platform	label
4	PP2	CS_B	PP2=(4)
3	PP3	CS_B	PP3=(3)
58	BA1	CS_B	BA1=(58)
47	BS1	CS_B	BS1=(47)
21	BS2	CS_B	BS2=(21)
43	BP4	CS_B	BP4=(43)
37	BP7	CS_B	BP7=(37)
3	PP2	CF_B	PP2=(3)
4	PP3	CF_B	PP3=(4)
232	BA1	CF_B	BA1=(232)
15	BS1	CF_B	BS1=(15)
47	BS2	CF_B	BS2=(47)
29	BP4	CF_B	BP4=(29)
59	BP7	CF_B	BP7=(59)
