count	codes	platform	label
43	PM2	CS_LB	PM2=(43)
2	PP2	CS_LB	PP2=(2)
13	PP3	CS_LB	PP3=(13)
121	BS1	CS_LB	BS1=(121)
1	BS2	CS_LB	BS2=(1)
64	BP4	CS_LB	BP4=(64)
81	BP7	CS_LB	BP7=(81)
48	PM2	CF_LB	PM2=(48)
6	PP2	CF_LB	PP2=(6)
10	PP3	CF_LB	PP3=(10)
37	BS1	CF_LB	BS1=(37)
11	BS2	CF_LB	BS2=(11)
35	BP4	CF_LB	BP4=(35)
93	BP7	CF_LB	BP7=(93)
