source;target;value;group
0;5;419;a
0;6;228;a1
1;5;316;a
1;6;398;a1
1;7;85;a2
2;5;49;a
2;6;72;a1
2;7;888;a2
2;8;79;a3
2;9;37;a4
3;7;48;a3
3;8;141;a3
3;9;33;a4
4;7;2;a2
4;8;147;a3
4;9;429;a4
5;10;678;a
5;11;7;a
6;10;613;a1
6;11;13;a1
7;10;26;a2
7;11;775;a2
7;12;100;a2
7;13;17;a2
7;14;7;a2
8;11;6;a3
8;12;6;a3
8;13;238;a3
8;14;105;a3
9;12;1;a4
9;13;65;a4
9;14;426;a4
