count	codes	platform	label
321	PVS1	CS_P	PVS1=(321)
5	PS1	CS_P	PS1=(5)
79	PM1	CS_P	PM1=(79)
639	PM2	CS_P	PM2=(639)
1	PM4	CS_P	PM4=(1)
88	PM5	CS_P	PM5=(88)
71	PP2	CS_P	PP2=(71)
336	PP3	CS_P	PP3=(336)
290	PVS1	CF_P	PVS1=(290)
3	PS1	CF_P	PS1=(3)
159	PM1	CF_P	PM1=(159)
612	PM2	CF_P	PM2=(612)
1	PM4	CF_P	PM4=(1)
74	PM5	CF_P	PM5=(74)
90	PP2	CF_P	PP2=(90)
303	PP3	CF_P	PP3=(303)
