count	codes	platform	label
107	PVS1	CS_LP	PVS1=(107)
3	PS1	CS_LP	PS1=(3)
51	PM1	CS_LP	PM1=(51)
603	PM2	CS_LP	PM2=(603)
101	PM5	CS_LP	PM5=(101)
15	PP2	CS_LP	PP2=(15)
420	PP3	CS_LP	PP3=(420)
96	PVS1	CF_LP	PVS1=(96)
2	PS1	CF_LP	PS1=(2)
94	PM1	CF_LP	PM1=(94)
562	PM2	CF_LP	PM2=(562)
81	PM5	CF_LP	PM5=(81)
28	PP2	CF_LP	PP2=(28)
389	PP3	CF_LP	PP3=(389)
